,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
0,CollegeTips Ed Tech Media Private Limited,Business Analytics,Work from home,1 Month,"₹ 10,000 - 25,000 /month",Be an early applicant,552 opportunities posted,17 candidates hired,Hiring since May 2022
1,Jivichem Synthesis Private Limited,Machine Learning,Work from home,1 Month,"₹ 25,000 /month",Be an early applicant,58 opportunities posted,4 candidates hired,Hiring since April 2023
2,"Gyde (New York, United States)",Ul Stack Developer (MERN/Next.js + NestJS + Generative AI),Work from home,6 Months,"₹ 8,000 - 15,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
3,Primetrade.ai,Junior Data Scientist For High-Growth Web3  Trading Platform,Work from home,6 Months,"₹ 10,000 - 15,000 /month",26 applicants,17 opportunities posted,3 candidates hired,Hiring since October 2023
4,Nimrobo AI Pvt Ltd,Artificial Intelligence (AI),Work from home,3 Months,"₹ 6,000 - 9,000 /month",65 applicants,2 opportunities posted,N/A,Hiring since January 2025
5,Pawzz Foundation,14 Days Virtual Charity Drive,Work from home,2 Weeks,"₹ 1,500 - 15,000 lump sum",Be an early applicant,392 opportunities posted,2416 candidates hired,Hiring since August 2024
6,International Institute Of SDGs & Public Policy Research,AI Agent Making,Work from home,3 Months,Unpaid,36 applicants,303 opportunities posted,1499 candidates hired,Hiring since August 2021
7,The Trading Fox,Human Resources (HR),Jaipur,3 Months,"₹ 10,000 - 15,000 /month",66 applicants,43 opportunities posted,N/A,Hiring since October 2024
8,Chit1 Studios,HR Consultant,"Chandigarh, Kharar, Rajpura, Mohali, Panchkula",3 Months,"₹ 8,000 - 10,000 /month",Be an early applicant,25 opportunities posted,N/A,Hiring since September 2021
9,The Grand Heritage Resorts Pune,Marketing,Pune                                                    (Hybrid),6 Months,"₹ 6,000 - 10,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
10,Arealis Networks Pvt. Ltd.,UrbanTech Operations,Pune                                                    (Hybrid),3 Months,"₹ 3,000 - 5,000 /month",99 applicants,1 opportunity posted,1 candidate hired,Hiring since May 2025
11,Corporate Connections,Operations,Rajkot,3 Months,"₹ 15,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since April 2025
12,International Institute Of SDGs & Public Policy Research,Convolutional Neural Network(CNN),Work from home,3 Months,Unpaid,Be an early applicant,303 opportunities posted,1499 candidates hired,Hiring since August 2021
13,International Institute Of SDGs & Public Policy Research,Web Scrapping,Work from home,3 Months,Unpaid,Be an early applicant,303 opportunities posted,1499 candidates hired,Hiring since August 2021
14,Litmus Media Private Limited,Digital Marketing,Work from home,3 Months,"₹ 5,000 - 6,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
15,Aadhvik Technologies,Machine Learning,Work from home,1 Month,"₹ 1,000 - 2,000 /month",Be an early applicant,522 opportunities posted,5 candidates hired,Hiring since June 2024
16,Pawzz,Social Service,Work from home,1 Month,"₹ 1,500 - 15,000 /month",Be an early applicant,2357 opportunities posted,8775 candidates hired,Hiring since January 2020
17,Pawzz,Business Consultant,Work from home,3 Weeks,"₹ 1,500 - 15,000 /month",Be an early applicant,2357 opportunities posted,8775 candidates hired,Hiring since January 2020
18,Graveiens Eduservices Private Limited,Hindi Speaker,Work from home,3 Months,"₹ 10,000 - 20,000 /month",88 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
19,Nxtcode,Data Analytics,Work from home,3 Months,"₹ 7,500 - 15,000 /month",139 applicants,35 opportunities posted,1 candidate hired,Hiring since May 2025
20,Nxtcode,Machine Learning,Work from home,3 Months,"₹ 7,500 - 15,000 /month",85 applicants,35 opportunities posted,1 candidate hired,Hiring since May 2025
21,CollegeTips Ed Tech Media Private Limited,Artificial Intelligence (AI),Work from home,1 Month,"₹ 10,000 - 25,000 /month",340 applicants,552 opportunities posted,17 candidates hired,Hiring since May 2022
22,CollegeTips Ed Tech Media Private Limited,Data Analytics,Work from home,1 Month,"₹ 10,000 - 25,000 /month",411 applicants,552 opportunities posted,17 candidates hired,Hiring since May 2022
23,Jivichem Synthesis Private Limited,Digital Marketing,Work from home,2 Months,"₹ 12,000 /month",272 applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
24,Budding Mariners,Operations Manager,Work from home,4 Months,"₹ 3,000 /month",127 applicants,544 opportunities posted,276 candidates hired,Hiring since May 2023
25,Techiesms,Internet Of Things (IoT),Ahmedabad,6 Months,"₹ 4,000 - 5,000 /month",41 applicants,44 opportunities posted,5 candidates hired,Hiring since February 2020
26,Brajdham Power Pvt. Ltd.,Research Associate,Jaipur,5 Months,"₹ 10,000 - 12,000 /month",64 applicants,1 opportunity posted,N/A,Hiring since May 2025
27,Maxgen Technologies Private Limited,Machine Learning,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",196 applicants,128 opportunities posted,N/A,Hiring since November 2024
28,Vision My Art,Search Engine Optimization (SEO),Noida,6 Months,"₹ 8,000 - 10,000 /month",44 applicants,19 opportunities posted,14 candidates hired,Hiring since May 2018
29,Focelite Goodness India Private Limited,Project Management,"Bangalore, Karnataka",3 Months,"₹ 2,001 - 5,005 /month",37 applicants,8 opportunities posted,3 candidates hired,Hiring since July 2022
30,Aadhvik Technologies,Data Science,Work from home,1 Month,"₹ 1,000 - 2,000 /month",885 applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
31,Water Town Swim School,Data Analytics,Work from home,4 Months,"₹ 20,000 - 40,000 /month",1000+ applicants,104 opportunities posted,9 candidates hired,Hiring since April 2017
32,Codecraft IT Solutions,Google Ads Expert,Work from home,4 Months,"₹ 3,200 - 7,000 /month",189 applicants,167 opportunities posted,N/A,Hiring since November 2024
33,Codecraft IT Solutions,Google Ads Creator,Work from home,4 Months,"₹ 3,500 - 8,000 /month",210 applicants,167 opportunities posted,N/A,Hiring since November 2024
34,Pawzz,Fundraising,Work from home,2 Weeks,"₹ 1,500 - 10,000 lump sum",171 applicants,2357 opportunities posted,8775 candidates hired,Hiring since January 2020
35,Snapmint Credit Advisory Private Limited,Business Analytics,Bangalore,2 Months,"₹ 30,000 - 40,000 /month",810 applicants,34 opportunities posted,7 candidates hired,Hiring since January 2019
36,Renan Partners,Large Language Model (LLM),Work from home,6 Months,"₹ 5,000 /month",558 applicants,59 opportunities posted,43 candidates hired,Hiring since August 2024
37,DR. SKILL OUTREACH PRIVATE LIMITED,Digital Marketing,"Ahmedabad, Gandhinagar",6 Months,"₹ 7,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
38,Kkonnect.io,Data Analytics,Bangalore,3 Months,"₹ 10,000 - 15,000 /month",848 applicants,9 opportunities posted,5 candidates hired,Hiring since February 2024
39,Deepnexus S,Data Analytics,Work from home,3 Months,"₹ 3,000 - 7,000 /month",1000+ applicants,61 opportunities posted,N/A,Hiring since February 2025
40,Jivichem Synthesis Private Limited,Artificial Intelligence (AI),Work from home,1 Month,"₹ 22,000 /month",1000+ applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
41,Jivichem Synthesis Private Limited,Data Science,Work from home,1 Month,"₹ 22,000 /month",1000+ applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
42,Pehchaan AI Technologies,Software Developer – AI Agent Systems,Work from home,6 Months,"₹ 10,000 - 15,000 /month",822 applicants,20 opportunities posted,2 candidates hired,Hiring since April 2024
43,StoryMirror Infotech Private Limited,Software Development,Mumbai,4 Months,"₹ 10,000 - 40,000 /month",846 applicants,12 opportunities posted,1 candidate hired,Hiring since October 2024
44,MentorBoxx,Machine Learning,Work from home,2 Months,"₹ 10,000 /month",1000+ applicants,1720 opportunities posted,13 candidates hired,Hiring since April 2021
45,MentorBoxx,Data Science,Work from home,1 Month,"₹ 10,000 /month",1000+ applicants,1720 opportunities posted,13 candidates hired,Hiring since April 2021
46,Clink,AI Agent Development,Work from home,3 Months,"₹ 15,000 - 25,000 /month",286 applicants,7 opportunities posted,5 candidates hired,Hiring since October 2024
47,NDFM Business World Pvt. Ltd.,Machine Learning,Work from home,6 Weeks,"₹ 5,000 - 7,000 /month",1000+ applicants,2 opportunities posted,N/A,Hiring since May 2025
48,Settyl,Artificial Intelligence (AI),Chennai,6 Months,"₹ 12,000 - 15,000 /month",703 applicants,93 opportunities posted,71 candidates hired,Hiring since February 2021
49,Resolute AI Software Private Limited,GenAI/LLM,Work from home,6 Months,"₹ 5,000 - 8,000 /month",354 applicants,192 opportunities posted,35 candidates hired,Hiring since June 2020
50,Underpin Services,Game Analyst,"Delhi, Noida",6 Months,"₹ 15,000 /month",309 applicants,22 opportunities posted,7 candidates hired,Hiring since August 2024
51,Talent Corner HR Services,Chatbot,Mumbai,3 Months,"₹ 15,000 lump sum",321 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
52,Amart Global,Artificial Neural Networks,Work from home,6 Months,Unpaid,287 applicants,1 opportunity posted,N/A,Hiring since May 2025
53,Daten & Wissen Private Limited,Data Annotation,Mumbai,6 Months,"₹ 4,500 - 5,000 /month",56 applicants,82 opportunities posted,9 candidates hired,Hiring since October 2021
54,AI Certs,Artificial Intelligence (AI),Work from home,5 Months,"₹ 15,000 - 20,000 /month",551 applicants,107 opportunities posted,8 candidates hired,Hiring since March 2024
55,Emoolar Technology Private Limited,Data Science,Work from home,3 Months,"₹ 5,000 - 7,000 /month",1000+ applicants,94 opportunities posted,15 candidates hired,Hiring since August 2021
56,International Institute Of SDGs & Public Policy Research,Causal Machine Learning,Work from home,3 Months,Unpaid,226 applicants,303 opportunities posted,1499 candidates hired,Hiring since August 2021
57,iTech Mission Private Limited,Python Development,"Delhi, Gurgaon, Noida",6 Months,"₹ 15,000 /month",399 applicants,211 opportunities posted,33 candidates hired,Hiring since March 2017
58,Credex,Web Development,Work from home,3 Months,"₹ 13,000 - 20,000 /month",1000+ applicants,3 opportunities posted,N/A,Hiring since May 2025
59,WiseAnalytics,Data Visualisation,Bangalore,2 Months,"₹ 2,000 - 20,000 /month",452 applicants,6 opportunities posted,N/A,Hiring since May 2025
60,Step Consultancy,Artificial Intelligence (AI),Work from home,6 Months,"₹ 10,000 - 20,000 /month",1000+ applicants,7 opportunities posted,N/A,Hiring since July 2024
61,Aditya Jha,Product Management,Bangalore,3 Months,"₹ 20,000 - 35,000 /month",545 applicants,6 opportunities posted,N/A,Hiring since October 2024
62,Buddha Education Association Incorporation,Machine Learning,Work from home,2 Months,"₹ 10,000 /month",1000+ applicants,2123 opportunities posted,13 candidates hired,Hiring since September 2020
63,WiseAnalytics,Data Science,Bangalore,2 Months,"₹ 2,000 - 20,000 /month",605 applicants,6 opportunities posted,N/A,Hiring since May 2025
64,Megaminds IT Services,Data Science AI&ML Python Research,Work from home,6 Months,"₹ 1,000 - 10,000 /month",832 applicants,312 opportunities posted,83 candidates hired,Hiring since March 2019
65,Across The Globe (ATG),Python Developer (Serverless),Work from home,6 Months,"₹ 2,500 - 5,000 /month",Be an early applicant,3460 opportunities posted,775 candidates hired,Hiring since January 2016
66,Kishore Ganth D,"Senior Frontend Developer – React, Next.js, UI/UX",Work from home,4 Months,"₹ 12,000 /month",39 applicants,11 opportunities posted,10 candidates hired,Hiring since February 2024
67,Alkraj Developers Private Limited,Full Stack Development,Work from home,3 Months,"₹ 4,000 - 5,000 /month",47 applicants,25 opportunities posted,18 candidates hired,Hiring since April 2023
68,Primetrade.ai,Junior Python Developer For Crypto Trading Bot,Work from home,6 Months,"₹ 10,000 - 15,000 /month",47 applicants,17 opportunities posted,3 candidates hired,Hiring since October 2023
69,Offiql Technologies Private Limited,Flutter Development,Work from home,3 Months,"₹ 6,000 - 10,000 /month",Be an early applicant,3 opportunities posted,1 candidate hired,Hiring since December 2024
70,Sports Aid,Full Stack Development,Work from home,2 Months,"₹ 35,000 - 45,000 /month",132 applicants,1 opportunity posted,N/A,Hiring since May 2025
71,Nxtcode,Web Development,Work from home,3 Months,"₹ 7,500 - 15,000 /month",184 applicants,35 opportunities posted,1 candidate hired,Hiring since May 2025
72,Maxgen Technologies Private Limited,Flutter Developer,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",Be an early applicant,128 opportunities posted,N/A,Hiring since November 2024
73,CollegeTips Ed Tech Media Private Limited,Web Development,Work from home,1 Month,"₹ 10,000 - 25,000 /month",697 applicants,552 opportunities posted,17 candidates hired,Hiring since May 2022
74,Jivichem Synthesis Private Limited,Web Development,Work from home,1 Month,"₹ 6,000 /month",1000+ applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
75,Ghackk Technologies,Software Development Engineering (Web),Work from home,2 Months,"₹ 1,000 /month",532 applicants,70 opportunities posted,21 candidates hired,Hiring since March 2024
76,Ghackk Technologies,Software Development Engineering (Web),Bhagalpur,2 Months,"₹ 2,000 /month",168 applicants,70 opportunities posted,21 candidates hired,Hiring since March 2024
77,Aadhvik Technologies,Front End Development,Work from home,1 Month,"₹ 1,000 - 2,000 /month",979 applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
78,Adsoftwaresolutions,.NET Development,Delhi,1 Week,"₹ 2,000 /month",Be an early applicant,3 opportunities posted,N/A,Hiring since March 2024
79,Maxgen Technologies Private Limited,Web Development,Pune,2 Months,"₹ 7,000 - 12,000 /month",453 applicants,128 opportunities posted,N/A,Hiring since November 2024
80,Maxgen Technologies Private Limited,Node.js Development,"Ahmedabad, Rajkot",3 Months,"₹ 7,000 - 12,000 /month",200 applicants,128 opportunities posted,N/A,Hiring since November 2024
81,Simulas,Web Development,Ahmedabad,6 Months,"₹ 8,000 - 10,000 /month",59 applicants,27 opportunities posted,11 candidates hired,Hiring since March 2021
82,Bridge2job,WordPress Develoment,Work from home,6 Months,"₹ 10,000 /month",466 applicants,48 opportunities posted,N/A,Hiring since April 2025
83,Bridge2job,Junior WordPress Development,Work from home,6 Months,"₹ 10,000 /month",382 applicants,48 opportunities posted,N/A,Hiring since April 2025
84,Infits,Flutter Development,Work from home,3 Months,"₹ 5,000 - 6,000 /month",209 applicants,43 opportunities posted,18 candidates hired,Hiring since April 2024
85,Kaushal Ranjeet Private Limited,React/ Node Js Live Project Expert,Work from home,3 Months,"₹ 7,000 - 12,000 /month",1000+ applicants,29 opportunities posted,4 candidates hired,Hiring since March 2025
86,DEVNEURAL,WordPress Development,Work from home,1 Month,"₹ 5,000 /month",435 applicants,10 opportunities posted,5 candidates hired,Hiring since August 2024
87,Aadhvik Technologies,Java Development,Work from home,1 Month,"₹ 1,000 - 2,000 /month",964 applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
88,Aadhvik Technologies,Full Stack Development,Work from home,1 Month,"₹ 1,000 - 2,000 /month",1000+ applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
89,Aadhvik Technologies,Python Development,Work from home,1 Month,"₹ 1,000 - 2,000 /month",1000+ applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
90,Icpure India Pvt Ltd,WordPress Development,Delhi,3 Months,"₹ 5,000 - 10,000 /month",82 applicants,1 opportunity posted,N/A,Hiring since May 2025
91,Sedani Digital Private Limited,Software Development Engineering (Web),Work from home,6 Months,"₹ 3,000 /month",965 applicants,36 opportunities posted,11 candidates hired,Hiring since July 2024
92,Furora Pets And Services,WordPress Development,Work from home,4 Months,"₹ 2,000 /month",253 applicants,2 opportunities posted,2 candidates hired,Hiring since April 2025
93,Lawtech,Javascript Developer,Work from home,3 Months,"₹ 7,000 - 10,000 /month",1000+ applicants,942 opportunities posted,6 candidates hired,Hiring since July 2022
94,Whatbytes,Backend Development,Work from home,6 Months,"₹ 10,000 - 20,000 /month",1000+ applicants,19 opportunities posted,1 candidate hired,Hiring since May 2024
95,ServiceHive,Flutter Development,Work from home,6 Months,"₹ 12,000 - 16,000 /month",432 applicants,10 opportunities posted,3 candidates hired,Hiring since May 2024
96,Bridge2job,Automation Specialist,Work from home,6 Months,"₹ 15,000 /month",339 applicants,48 opportunities posted,N/A,Hiring since April 2025
97,Bridge2job,Automation Expert,Work from home,3 Months,"₹ 15,000 /month",398 applicants,48 opportunities posted,N/A,Hiring since April 2025
98,MentorBoxx,Web Development,Work from home,1 Month,"₹ 10,000 /month",1000+ applicants,1720 opportunities posted,13 candidates hired,Hiring since April 2021
99,ShipTurtle,Front End Development,Ahmedabad,6 Months,"₹ 10,000 - 15,000 /month",96 applicants,14 opportunities posted,N/A,Hiring since March 2023
100,Blaziken Technologies Private Limited,Software Development,Mumbai,6 Months,"₹ 5,000 - 10,000 /month",130 applicants,9 opportunities posted,N/A,Hiring since July 2023
101,Funtastic Event Management Pvt Ltd,Mobile App Development,Work from home,4 Months,"₹ 10,000 - 20,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
102,NayePankh Foundation,Mobile App Development (Flutter),Work from home,3 Months,Unpaid,57 applicants,1611 opportunities posted,38113 candidates hired,Hiring since November 2022
103,Jivichem Synthesis Private Limited,Android App Development,Work from home,1 Month,"₹ 20,000 /month",683 applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
104,iGuru Training Solutions,Flutter Development,Hyderabad,3 Months,"₹ 5,000 - 10,000 /month",201 applicants,12 opportunities posted,N/A,Hiring since November 2023
105,Maxgen Technologies Private Limited,Flutter Development,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",81 applicants,128 opportunities posted,N/A,Hiring since November 2024
106,RevoltronX,Mobile App Development,Work from home,6 Months,"₹ 2,000 - 5,000 /month",294 applicants,24 opportunities posted,19 candidates hired,Hiring since July 2024
107,Andaz Kumar,Android App Development,Work from home,1 Month,"₹ 5,000 - 62,000 /month",411 applicants,20 opportunities posted,5 candidates hired,Hiring since October 2022
108,Maxgen Technologies Private Limited,Android App Development,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",99 applicants,128 opportunities posted,N/A,Hiring since November 2024
109,Celebrare,Kotlin Developer,Work from home,1 Month,"₹ 7,500 /month",236 applicants,333 opportunities posted,131 candidates hired,Hiring since September 2020
110,Niviverse Technologies Private Limited,Flutter Development,Work from home,6 Months,"₹ 4,000 - 5,000 /month",222 applicants,11 opportunities posted,1 candidate hired,Hiring since December 2024
111,AWASTHI DIGITAL,Android App Development,Bhopal                                                    (Hybrid),3 Months,"₹ 5,000 /month",96 applicants,1 opportunity posted,N/A,Hiring since May 2025
112,NextEdge Labs,AI Flutter Development,Work from home,6 Months,"₹ 7,000 /month",177 applicants,314 opportunities posted,41 candidates hired,Hiring since June 2021
113,Buddha Education Association Incorporation,Mobile App Development,Work from home,1 Month,"₹ 10,000 /month",754 applicants,2123 opportunities posted,13 candidates hired,Hiring since September 2020
114,Basti Ki Pathshala Foundation,Flutter Development,Work from home,3 Months,Unpaid,398 applicants,860 opportunities posted,11388 candidates hired,Hiring since February 2024
115,Kajkarma,Mobile App Development,Work from home,6 Months,"₹ 5,000 /month",559 applicants,30 opportunities posted,1 candidate hired,Hiring since October 2024
116,Meru Technosoft Private Limited,Flutter Development,Ahmedabad,6 Months,"₹ 7,000 - 10,000 /month",29 applicants,17 opportunities posted,19 candidates hired,Hiring since February 2025
117,CloudEye Technologies India Private Limited,Full Stack Web Development,Visakhapatnam,2 Months,"₹ 4,000 - 8,000 /month",41 applicants,93 opportunities posted,10 candidates hired,Hiring since May 2017
118,Practice Buzz,Android App Development,Chandigarh,4 Months,"₹ 20,000 - 40,000 /month",272 applicants,102 opportunities posted,4 candidates hired,Hiring since August 2024
119,DEVNEURAL,Mobile App Development,Work from home,2 Months,"₹ 10,000 - 20,000 /month",358 applicants,10 opportunities posted,5 candidates hired,Hiring since August 2024
120,Loan For India,Mobile App Development,Mumbai,3 Months,"₹ 5,000 - 10,000 /month",78 applicants,5 opportunities posted,N/A,Hiring since December 2024
121,Brave Artificial Intelligence Laboratory,Android App Development,Work from home,3 Months,"₹ 15,000 - 25,000 /month",695 applicants,116 opportunities posted,10 candidates hired,Hiring since January 2021
122,Catalift,Mobile App Development,Work from home,4 Months,"₹ 5,000 - 8,000 /month",459 applicants,2 opportunities posted,N/A,Hiring since April 2025
123,MagicMond Global,Flutter Development,Work from home,3 Months,"₹ 20,000 /month",719 applicants,9 opportunities posted,N/A,Hiring since June 2024
124,Emoolar Technology Private Limited,Mobile App Development,Work from home,3 Months,"₹ 5,000 - 7,000 /month",926 applicants,94 opportunities posted,15 candidates hired,Hiring since August 2021
125,Mintosh Advisory,Mobile App Development,Work from home,3 Months,"₹ 3,000 - 5,000 /month",270 applicants,12 opportunities posted,3 candidates hired,Hiring since November 2023
126,Syscon Electro Tech India Private Limited,Mobile Application Developer (Edge-Connected Cloud Streaming),Work from home,4 Months,"₹ 8,000 - 12,000 /month",52 applicants,3 opportunities posted,N/A,Hiring since April 2025
127,Hostelery Stuff,React Native Mobile Developer (Android & IOS Developer),Bareilly                                                    (Hybrid),2 Months,"₹ 8,005 - 10,005 /month",100 applicants,1 opportunity posted,N/A,Hiring since April 2025
128,Techdome Solutions Private Limited,Flutter Development,"Indore, Hyderabad",6 Months,"₹ 10,000 - 15,000 /month",311 applicants,371 opportunities posted,50 candidates hired,Hiring since March 2021
129,Brihat Infotech Private Limited,Mobile App Development,Work from home,3 Months,"₹ 3,000 - 4,000 /month",434 applicants,218 opportunities posted,149 candidates hired,Hiring since May 2023
130,SNS Square Consultancy Services,Flutter Development,Coimbatore,5 Months,"₹ 10,000 /month",34 applicants,1 opportunity posted,N/A,Hiring since April 2025
131,She Can Foundation,Android App Development,Work from home,3 Months,Unpaid,563 applicants,1288 opportunities posted,27050 candidates hired,Hiring since April 2023
132,Supervaisor.AI,Android App Development,Work from home,3 Months,"₹ 20,000 - 35,000 /month",727 applicants,16 opportunities posted,20 candidates hired,Hiring since February 2025
133,Idea Usher,Flutter Development,Work from home,6 Months,"₹ 12,000 - 15,000 /month",433 applicants,723 opportunities posted,177 candidates hired,Hiring since December 2017
134,WES Consultancy & Services Private Limited,Mobile App Development,Raipur,6 Months,"₹ 6,000 - 8,000 /month",Be an early applicant,45 opportunities posted,9 candidates hired,Hiring since February 2018
135,ITGAI Software Solutions Opc Private Limited,Android App Development,Dehradun,3 Months,"₹ 5,000 /month",254 applicants,2 opportunities posted,N/A,Hiring since February 2025
136,Resolute AI Software Private Limited,Technology Lead,Work from home,3 Months,"₹ 10,000 /month",943 applicants,192 opportunities posted,35 candidates hired,Hiring since June 2020
137,Megaminds IT Services,IOT & Cloud Computing,Work from home,6 Months,"₹ 4,000 - 20,000 /month",495 applicants,312 opportunities posted,83 candidates hired,Hiring since March 2019
138,Warewe Consultancy Private Limited,Node.js Development,Gurgaon,2 Months,"₹ 10,000 - 15,000 /month",374 applicants,268 opportunities posted,69 candidates hired,Hiring since October 2016
139,Maxgen Technologies Private Limited,AWS DevOps,Pune,3 Months,"₹ 7,000 - 12,000 /month",224 applicants,128 opportunities posted,N/A,Hiring since November 2024
140,Talent Corner HR Services,Integration Specialist,Mumbai,3 Months,"₹ 15,000 lump sum",35 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
141,Talent Corner HR Services,Automation Specialist,Mumbai,3 Months,"₹ 15,000 lump sum",42 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
142,Talent Corner HR Services,IT Consultant,Mumbai,3 Months,"₹ 15,000 lump sum",88 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
143,IESoft Technologies Private Limited,AWS DevOps Engineer,Mumbai,6 Months,"₹ 20,000 - 2,50,000 /month",246 applicants,333 opportunities posted,30 candidates hired,Hiring since June 2021
144,Bansal Hi-tech Systems Private Limited,Digital Marketing,Gurgaon,3 Months,"₹ 3,000 - 5,000 /month",Be an early applicant,2 opportunities posted,N/A,Hiring since March 2025
145,Talent Corner HR Services,Data Engineer,Mumbai,3 Months,"₹ 15,000 lump sum",258 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
146,CipherSchools,Cloud Computing,Work from home,2 Months,"₹ 20,000 - 30,000 /month",508 applicants,206 opportunities posted,54 candidates hired,Hiring since July 2020
147,Spiritual Sutra Pvt. Ltd,Automation Engineer,Mumbai,3 Months,"₹ 10,000 /month",74 applicants,1 opportunity posted,N/A,Hiring since May 2025
148,WiseAnalytics,DevOps,Bangalore,2 Months,"₹ 5,000 - 20,000 /month",224 applicants,6 opportunities posted,N/A,Hiring since May 2025
149,Rentkar-Switch To Share,Full Stack Development,Mumbai,3 Months,"₹ 10,000 - 12,000 /month",148 applicants,1256 opportunities posted,39 candidates hired,Hiring since October 2019
150,Oddmind Innovations,Full Stack Development,Work from home,2 Months,"₹ 5,000 - 7,500 /month",913 applicants,1 opportunity posted,N/A,Hiring since May 2025
151,Pawzz,Recruitment,Work from home,4 Months,"₹ 7,000 - 20,000 /month",848 applicants,765 opportunities posted,4816 candidates hired,Hiring since January 2024
152,Tap In,Backend Development,Work from home,2 Months,"₹ 11,000 - 25,000 /month",956 applicants,18 opportunities posted,2 candidates hired,Hiring since January 2019
153,WebTree Global Private Limited,Full Stack Development,Work from home,3 Months,"₹ 1,001 - 12,000 /month",585 applicants,60 opportunities posted,49 candidates hired,Hiring since February 2023
154,Maxgen Technologies Private Limited,AWS DevOps Engineer,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",203 applicants,128 opportunities posted,N/A,Hiring since November 2024
155,Eucloid Data Solutions Private Limited,SQL DEVELOPER,Gurgaon,2 Months,"₹ 30,000 /month",857 applicants,11 opportunities posted,1 candidate hired,Hiring since June 2021
156,OutFlo,Founding Full Stack Role - OutFlo.io (IIT Kharagpur Alum),Bangalore,6 Months,"₹ 20,000 - 25,000 /month",469 applicants,2 opportunities posted,N/A,Hiring since March 2025
157,BigBul,Full Stack Development,Work from home,3 Months,"₹ 2,000 /month",510 applicants,2 opportunities posted,N/A,Hiring since March 2025
158,ROBOKALAM,Artificial Intelligence (AI),Warangal,3 Months,"₹ 15,500 - 40,000 lump sum",553 applicants,33 opportunities posted,13 candidates hired,Hiring since April 2020
159,Chordify Inc.,React Native,Work from home,6 Months,"₹ 8,000 - 10,000 /month",230 applicants,2 opportunities posted,N/A,Hiring since August 2023
160,Radical Global,Software Testing,Nagpur,3 Months,"₹ 2,000 /month",69 applicants,9 opportunities posted,1 candidate hired,Hiring since August 2023
161,The Education Diary,Teaching,Work from home,6 Months,"₹ 5,000 - 7,000 /month",Be an early applicant,6 opportunities posted,11 candidates hired,Hiring since June 2023
162,Aadhvik Technologies,SQL DEVELOPER,Work from home,1 Month,"₹ 1,000 - 2,000 /month",476 applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
163,Edith Defence Systems Private Limited,C/C++ Qt Development,Navi Mumbai,4 Months,"₹ 12,000 - 15,000 /month",139 applicants,33 opportunities posted,16 candidates hired,Hiring since June 2024
164,Infoware,Quality Analyst,"Ahmedabad, Gandhinagar                                                    (Hybrid)",5 Months,"₹ 13,000 /month",181 applicants,280 opportunities posted,152 candidates hired,Hiring since March 2020
165,Maxgen Technologies Private Limited,Flutter Developer,Ahmedabad,3 Months,"₹ 7,000 - 12,000 /month",Be an early applicant,128 opportunities posted,,Hiring since November 2024
166,NayePankh Foundation,Mobile App Development (Flutter),Work from home,3 Months,Unpaid,55 applicants,1611 opportunities posted,38113 candidates hired,Hiring since November 2022
167,Infits,Flutter Development,Work from home,3 Months,"₹ 5,000 - 6,000 /month",203 applicants,43 opportunities posted,18 candidates hired,Hiring since April 2024
168,Jivichem Synthesis Private Limited,Android App Development,Work from home,1 Month,"₹ 20,000 /month",675 applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
169,ServiceHive,Flutter Development,Work from home,6 Months,"₹ 12,000 - 16,000 /month",431 applicants,10 opportunities posted,3 candidates hired,Hiring since May 2024
170,iGuru Training Solutions,Flutter Development,Hyderabad,3 Months,"₹ 5,000 - 10,000 /month",199 applicants,12 opportunities posted,,Hiring since November 2023
