,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
282,StoryMirror Infotech Private Limited,Software Development,Mumbai,4 Months,"₹ 10,000 - 40,000 /month",265 applicants,12 opportunities posted,1 candidate hired,Hiring since October 2024
283,MentorBoxx,Machine Learning,Work from home,2 Months,"₹ 10,000 /month",472 applicants,1719 opportunities posted,13 candidates hired,Hiring since April 2021
284,MentorBoxx,Data Science,Work from home,1 Month,"₹ 10,000 /month",385 applicants,1719 opportunities posted,13 candidates hired,Hiring since April 2021
285,Clink,AI Agent Development,Work from home,3 Months,"₹ 15,000 - 25,000 /month",142 applicants,7 opportunities posted,5 candidates hired,Hiring since October 2024
286,Nxtcode,Machine Learning,Work from home,3 Months,"₹ 7,500 - 15,000 /month",383 applicants,26 opportunities posted,1 candidate hired,Hiring since May 2025
287,NDFM Business World Pvt. Ltd.,Machine Learning,Work from home,6 Weeks,"₹ 5,000 - 7,000 /month",1000+ applicants,2 opportunities posted,,Hiring since May 2025
288,Aadhvik Technologies,Machine Learning,Work from home,1 Month,"₹ 1,000 - 2,000 /month",491 applicants,514 opportunities posted,5 candidates hired,Hiring since June 2024
289,Settyl,Artificial Intelligence (AI),Chennai,6 Months,"₹ 12,000 - 15,000 /month",440 applicants,93 opportunities posted,71 candidates hired,Hiring since February 2021
290,Resolute AI Software Private Limited,GenAI/LLM,Work from home,6 Months,"₹ 5,000 - 8,000 /month",250 applicants,192 opportunities posted,35 candidates hired,Hiring since June 2020
291,Underpin Services,Game Analyst,"Delhi, Noida",6 Months,"₹ 15,000 /month",202 applicants,22 opportunities posted,7 candidates hired,Hiring since August 2024
292,Aadhvik Technologies,Data Science,Work from home,1 Month,"₹ 1,000 - 2,000 /month",680 applicants,514 opportunities posted,5 candidates hired,Hiring since June 2024
293,Talent Corner HR Services,Chatbot,Mumbai,3 Months,"₹ 15,000 lump sum",244 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
294,Amart Global,Artificial Neural Networks,Work from home,6 Months,Unpaid,197 applicants,1 opportunity posted,,Hiring since May 2025
295,Daten & Wissen Private Limited,Data Annotation,Mumbai,6 Months,"₹ 4,500 - 5,000 /month",47 applicants,82 opportunities posted,9 candidates hired,Hiring since October 2021
296,AI Certs,Artificial Intelligence (AI),Work from home,5 Months,"₹ 15,000 - 20,000 /month",491 applicants,107 opportunities posted,8 candidates hired,Hiring since March 2024
297,Emoolar Technology Private Limited,Data Science,Work from home,3 Months,"₹ 5,000 - 7,000 /month",1000+ applicants,93 opportunities posted,15 candidates hired,Hiring since August 2021
298,International Institute Of SDGs & Public Policy Research,Causal Machine Learning,Work from home,3 Months,Unpaid,194 applicants,297 opportunities posted,1490 candidates hired,Hiring since August 2021
299,iTech Mission Private Limited,Python Development,"Delhi, Gurgaon, Noida",6 Months,"₹ 15,000 /month",318 applicants,211 opportunities posted,33 candidates hired,Hiring since March 2017
300,Credex,Web Development,Work from home,3 Months,"₹ 13,000 - 20,000 /month",1000+ applicants,3 opportunities posted,,Hiring since May 2025
301,WiseAnalytics,Data Visualisation,Bangalore,2 Months,"₹ 2,000 - 20,000 /month",377 applicants,6 opportunities posted,,Hiring since May 2025
302,Step Consultancy,Artificial Intelligence (AI),Work from home,6 Months,"₹ 10,000 - 20,000 /month",913 applicants,7 opportunities posted,,Hiring since July 2024
303,Aditya Jha,Product Management,Bangalore,3 Months,"₹ 20,000 - 35,000 /month",467 applicants,6 opportunities posted,,Hiring since October 2024
304,Buddha Education Association Incorporation,Machine Learning,Work from home,2 Months,"₹ 10,000 /month",1000+ applicants,2123 opportunities posted,13 candidates hired,Hiring since September 2020
305,WiseAnalytics,Data Science,Bangalore,2 Months,"₹ 2,000 - 20,000 /month",535 applicants,6 opportunities posted,,Hiring since May 2025
306,Megaminds IT Services,Data Science AI&ML Python Research,Work from home,6 Months,"₹ 1,000 - 10,000 /month",736 applicants,310 opportunities posted,83 candidates hired,Hiring since March 2019
307,Megaminds IT Services,Research Associate Computer Science,Work from home,6 Months,"₹ 1,000 - 8,000 /month",139 applicants,310 opportunities posted,83 candidates hired,Hiring since March 2019
308,RoadMetrics,Data Annotation/Labelling (Computer Vision-Image Data),Bangalore,3 Months,"₹ 15,000 - 20,000 /month",72 applicants,39 opportunities posted,10 candidates hired,Hiring since December 2019
309,Deepnexus S,Artificial Intelligence (AI),Work from home,3 Months,"₹ 16,000 - 24,000 /month",1000+ applicants,61 opportunities posted,,Hiring since February 2025
310,Maxgen Technologies Private Limited,AI/ML Engineer,Ahmedabad,2 Months,"₹ 7,000 - 12,000 /month",397 applicants,128 opportunities posted,,Hiring since November 2024
